Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,5806963.42,332685.56,747929.70,2075,0,3073,0,3466,0,425,0,24,0.7246002688919219,4512
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,18180271.04,247410.13,94190.00,3153,0,736,0,4751,0,1205,0,58,0.928725233830243,9516
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,683928.21,3551.44,2490.00,100,0,10,0,128,0,33,0,5,0.8353961827820414,276
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,3474470.04,1159287.62,1330380.00,989,0,323,0,1456,0,500,0,16,0.9287541137589302,3948
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,3617964.81,658297.66,1299255.00,484,0,142,0,967,0,227,0,25,0.3044097524750752,5280
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,1357920.12,254913.69,522114.00,872,0,277,0,894,0,201,0,9,0.7808395515176397,1092
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,2153774.09,1114111.25,368350.29,754,0,412,0,1295,0,285,0,30,0.880007513250187,2460
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,2899830.43,879408.74,385664.08,682,0,369,0,1363,0,212,0,26,0.910700636410639,2124
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,2054265.10,478483.09,799418.97,646,0,255,0,1084,0,335,0,30,0.8499529098365856,2304
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,17732711.34,0.00,0,4493,0,1823,0,6658,0,2048,54,0.9583782291210691,20184
